Start Date/Time,End Date/Time,Duration (secs)
30-Oct-2022 00:09:03,30-Oct-2022 00:21:03,720
30-Oct-2022 00:21:33,30-Oct-2022 01:01:03,2370
30-Oct-2022 01:01:03,30-Oct-2022 01:06:33,330
30-Oct-2022 01:07:33,30-Oct-2022 01:15:33,480
30-Oct-2022 01:15:33,30-Oct-2022 01:17:33,120
30-Oct-2022 01:17:33,30-Oct-2022 01:39:03,1290
30-Oct-2022 01:39:03,30-Oct-2022 01:56:03,1020
30-Oct-2022 01:56:03,30-Oct-2022 02:48:33,3150
30-Oct-2022 02:48:33,30-Oct-2022 02:51:03,150
30-Oct-2022 02:52:03,30-Oct-2022 02:57:33,330
30-Oct-2022 02:57:33,30-Oct-2022 03:05:03,450
30-Oct-2022 03:05:03,30-Oct-2022 03:06:33,90
30-Oct-2022 03:06:33,30-Oct-2022 03:07:03,30
30-Oct-2022 03:07:03,30-Oct-2022 03:07:33,30
30-Oct-2022 03:09:03,30-Oct-2022 03:11:03,120
30-Oct-2022 03:11:33,30-Oct-2022 03:13:33,120
30-Oct-2022 03:14:03,30-Oct-2022 03:15:03,60
30-Oct-2022 03:20:03,30-Oct-2022 04:02:33,2550
30-Oct-2022 04:02:33,30-Oct-2022 04:03:33,60
30-Oct-2022 04:03:33,30-Oct-2022 04:23:03,1170
30-Oct-2022 04:23:03,30-Oct-2022 04:40:33,1050
30-Oct-2022 04:40:33,30-Oct-2022 04:42:03,90
30-Oct-2022 04:42:03,30-Oct-2022 04:45:03,180
30-Oct-2022 04:45:03,30-Oct-2022 04:51:03,360
30-Oct-2022 04:51:03,30-Oct-2022 04:53:33,150
30-Oct-2022 04:53:33,30-Oct-2022 04:54:33,60
30-Oct-2022 04:54:33,30-Oct-2022 04:57:33,180
30-Oct-2022 04:57:33,30-Oct-2022 05:38:33,2460
30-Oct-2022 05:39:03,30-Oct-2022 05:44:03,300
30-Oct-2022 05:46:03,30-Oct-2022 06:11:33,1530
30-Oct-2022 23:09:03,30-Oct-2022 23:25:03,960
30-Oct-2022 23:25:03,30-Oct-2022 23:54:33,1770
30-Oct-2022 23:54:33,31-Oct-2022 00:16:03,1290
31-Oct-2022 00:16:03,31-Oct-2022 00:26:03,600
31-Oct-2022 00:27:03,31-Oct-2022 00:52:33,1530
31-Oct-2022 00:52:33,31-Oct-2022 01:01:33,540
31-Oct-2022 01:01:33,31-Oct-2022 01:11:33,600
31-Oct-2022 01:11:33,31-Oct-2022 01:27:33,960
31-Oct-2022 01:27:33,31-Oct-2022 01:39:33,720
31-Oct-2022 01:39:33,31-Oct-2022 02:05:03,1530
31-Oct-2022 02:18:03,31-Oct-2022 02:34:03,960
31-Oct-2022 02:34:33,31-Oct-2022 03:01:03,1590
31-Oct-2022 03:01:03,31-Oct-2022 03:06:03,300
31-Oct-2022 03:06:03,31-Oct-2022 03:07:03,60
31-Oct-2022 03:07:03,31-Oct-2022 03:11:03,240
31-Oct-2022 03:11:03,31-Oct-2022 03:35:03,1440
31-Oct-2022 03:36:03,31-Oct-2022 03:54:33,1110
31-Oct-2022 03:55:03,31-Oct-2022 04:00:33,330
31-Oct-2022 04:03:03,31-Oct-2022 04:05:03,120
31-Oct-2022 04:10:03,31-Oct-2022 04:25:03,900
31-Oct-2022 04:26:03,31-Oct-2022 04:42:33,990
31-Oct-2022 04:42:33,31-Oct-2022 05:04:03,1290
31-Oct-2022 05:05:03,31-Oct-2022 05:06:33,90
31-Oct-2022 05:08:03,31-Oct-2022 05:11:03,180
31-Oct-2022 05:15:03,31-Oct-2022 05:21:33,390
31-Oct-2022 05:38:33,31-Oct-2022 05:39:33,60
31-Oct-2022 05:42:03,31-Oct-2022 05:58:03,960
